Id,Street,LandSlope,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PavedDrive,OpenPorchSF,SaleCondition,SalePrice
50,Pave,Gtl,Sawyer,1Story,5,7,1966,Ex,955,0,955,6,0,1,386,Y,0,Normal,127000
51,Pave,Gtl,Gilbert,2Story,6,6,1997,Gd,794,676,1470,6,0,2,388,Y,75,Normal,177000
52,Pave,Gtl,BrkSide,1.5Fin,6,6,1934,TA,816,0,1176,6,1,2,528,Y,0,Normal,114500
53,Grvl,Mod,IDOTRR,1Story,5,5,1963,TA,816,0,816,5,0,2,516,Y,0,Normal,110000
54,Pave,Gtl,Veenker,1Story,9,5,1981,Gd,1842,0,1842,5,1,3,894,Y,72,Normal,385000
55,Pave,Mod,NAmes,SLvl,5,5,1955,TA,1360,0,1360,6,1,2,572,Y,50,Normal,130000
56,Pave,Gtl,NAmes,1Story,6,5,1964,Gd,1425,0,1425,7,1,2,576,Y,0,Normal,180500
57,Pave,Gtl,Somerst,2Story,8,5,1999,Ex,983,756,1739,7,0,2,480,Y,0,Abnorml,172500
58,Pave,Gtl,CollgCr,2Story,7,5,2004,Ex,860,860,1720,7,0,2,565,Y,70,Normal,196500
59,Pave,Gtl,StoneBr,2Story,10,5,2006,Ex,1426,1519,2945,10,1,3,641,Y,0,Partial,438780
60,Pave,Gtl,CollgCr,1Story,5,7,1972,Ex,780,0,780,4,0,1,352,Y,0,Normal,124900
61,Pave,Gtl,SawyerW,1Story,6,5,2004,Ex,1158,0,1158,5,0,2,576,Y,50,Partial,158000
62,Pave,Gtl,IDOTRR,2.5Unf,5,7,1920,TA,581,530,1111,6,0,1,288,N,0,Normal,101000
63,Pave,Gtl,NridgHt,1Story,8,5,2006,Ex,1370,0,1370,6,1,2,484,Y,49,Normal,202500
64,Pave,Gtl,OldTown,2Story,7,6,1921,Gd,902,808,1710,9,0,2,480,Y,11,Normal,140000
65,Pave,Gtl,CollgCr,2Story,7,5,1997,Ex,1057,977,2034,8,0,2,645,Y,36,Normal,219500
66,Pave,Gtl,NridgHt,2Story,8,5,2004,Ex,1143,1330,2473,9,1,3,852,Y,151,Normal,317000
67,Pave,Gtl,NAmes,1Story,7,5,1970,TA,2207,0,2207,7,1,2,576,Y,0,Normal,180000
68,Pave,Gtl,CollgCr,1Story,7,5,2003,Ex,1479,0,1479,7,0,2,558,Y,29,Normal,226000
69,Pave,Gtl,OldTown,1Story,4,6,1945,TA,747,0,747,4,0,1,220,Y,0,Normal,80000
70,Pave,Gtl,ClearCr,1.5Fin,7,4,1953,TA,1304,983,2287,7,1,2,667,Y,21,Normal,225000
71,Pave,Gtl,NAmes,1Story,7,6,1973,Ex,2223,0,2223,8,2,2,516,Y,0,Normal,244000
72,Pave,Gtl,Mitchel,1Story,4,6,1982,TA,845,0,845,4,0,2,360,Y,0,Normal,129500
73,Pave,Gtl,Gilbert,2Story,7,5,1998,Gd,885,833,1718,7,1,2,427,Y,94,Normal,185000
74,Pave,Gtl,NAmes,1Story,5,7,1954,Gd,1086,0,1086,6,0,2,490,Y,0,Normal,144900
75,Pave,Gtl,OldTown,2Story,3,6,1915,Gd,840,765,1605,8,0,1,379,Y,0,Normal,107400
76,Pave,Gtl,MeadowV,SLvl,4,5,1973,TA,526,462,988,5,0,1,297,Y,101,Normal,91000
77,Pave,Gtl,NAmes,1Story,4,7,1956,Ex,952,0,952,4,0,1,283,Y,0,Normal,135750
78,Pave,Gtl,BrkSide,1.5Fin,5,5,1948,TA,1072,213,1285,6,0,1,240,Y,0,Normal,127000
79,Pave,Gtl,Sawyer,1Story,4,5,1968,TA,1768,0,1768,8,0,0,0,Y,0,Normal,136500
80,Pave,Gtl,OldTown,2Story,5,6,1910,Gd,682,548,1230,5,0,2,440,Y,0,Normal,110000
81,Pave,Gtl,NAmes,2Story,6,6,1968,TA,1182,960,2142,8,1,1,509,Y,72,Normal,193500
82,Pave,Gtl,Mitchel,1Story,6,5,1998,Ex,1337,0,1337,5,0,2,405,Y,199,Normal,153500
83,Pave,Gtl,Somerst,1Story,8,5,2007,Ex,1563,0,1563,6,1,3,758,Y,99,Normal,245000
84,Pave,Gtl,NAmes,1Story,5,5,1960,Gd,1065,0,1065,6,0,2,461,Y,0,Normal,126500
85,Pave,Gtl,Gilbert,SLvl,7,5,1995,Gd,804,670,1474,7,1,2,400,Y,72,Normal,168500
86,Pave,Gtl,NoRidge,2Story,8,5,1991,Ex,1301,1116,2417,9,1,2,462,Y,82,Normal,260000
87,Pave,Gtl,Gilbert,2Story,6,5,2005,Ex,684,876,1560,6,1,2,400,Y,38,Normal,174000
88,Pave,Gtl,Somerst,2Story,6,5,2009,Ex,612,612,1224,4,0,2,528,Y,234,Partial,164500
89,Pave,Gtl,IDOTRR,1.5Fin,3,2,1915,TA,1013,0,1526,6,0,0,0,N,0,Abnorml,85000
90,Pave,Gtl,CollgCr,1Story,4,5,1994,Ex,990,0,990,5,0,0,0,Y,0,Normal,123600
91,Pave,Gtl,NAmes,1Story,4,5,1950,TA,1040,0,1040,4,0,2,420,Y,29,Normal,109900
92,Pave,Gtl,NAmes,1Story,5,3,1961,TA,1235,0,1235,6,0,2,480,Y,0,Abnorml,98600
93,Pave,Gtl,Crawfor,1Story,5,7,1921,Ex,964,0,964,5,0,2,432,Y,0,Normal,163500
94,Pave,Gtl,OldTown,2.5Unf,6,6,1910,Ex,1260,1031,2291,9,1,2,506,Y,0,Normal,133900
95,Pave,Gtl,CollgCr,2Story,6,5,1997,Ex,905,881,1786,7,0,2,684,Y,162,Normal,204750
96,Pave,Gtl,Gilbert,2Story,6,8,1993,Gd,680,790,1470,6,1,2,420,Y,63,Normal,185000
97,Pave,Gtl,CollgCr,1Story,7,5,1999,Ex,1588,0,1588,6,0,2,472,Y,29,Normal,214000
98,Pave,Gtl,Edwards,1Story,4,5,1965,TA,960,0,960,6,0,1,432,P,0,Normal,94750
99,Pave,Gtl,Edwards,1Story,5,5,1920,Fa,835,0,835,5,0,1,366,Y,0,Abnorml,83000
100,Pave,Gtl,NAmes,1Story,4,5,1959,Fa,1225,0,1225,6,0,0,0,Y,0,Normal,128950
101,Pave,Gtl,NWAmes,1Story,6,7,1977,Gd,1610,0,1610,6,2,2,480,Y,68,Normal,205000
102,Pave,Gtl,SawyerW,2Story,6,5,1985,TA,977,755,1732,7,1,2,476,Y,46,Normal,178000
103,Pave,Gtl,SawyerW,1Story,5,5,1979,TA,1535,0,1535,8,0,2,410,Y,0,Alloca,118964
104,Pave,Gtl,CollgCr,1Story,7,5,2009,Ex,1226,0,1226,6,0,3,740,Y,36,Normal,198900
105,Pave,Gtl,IDOTRR,1.5Fin,7,4,1931,Ex,1226,592,1818,7,2,1,240,Y,0,Normal,169500
106,Pave,Gtl,Somerst,2Story,8,5,2003,Ex,1053,939,1992,9,1,2,648,Y,45,Normal,250000
107,Pave,Gtl,OldTown,1Story,4,7,1885,Gd,1047,0,1047,6,0,1,273,N,0,Normal,100000
108,Pave,Gtl,OldTown,1Story,5,5,1948,Ex,789,0,789,5,0,1,250,Y,0,Partial,115000
109,Pave,Gtl,IDOTRR,1.5Fin,5,7,1919,TA,997,520,1517,7,0,0,0,N,0,Normal,115000
110,Pave,Gtl,NWAmes,1Story,6,6,1977,Ex,1844,0,1844,7,1,2,546,Y,122,Normal,190000
111,Pave,Gtl,Edwards,1.5Fin,6,4,1954,Gd,1216,639,1855,7,0,1,325,Y,0,Normal,136900
112,Pave,Gtl,Gilbert,SLvl,7,5,2000,Ex,774,656,1430,7,1,2,400,Y,0,Normal,180000
113,Pave,Gtl,CollgCr,2Story,7,5,2007,Ex,1282,1414,2696,10,1,3,792,Y,184,Partial,383970
114,Pave,Gtl,Crawfor,1Story,6,5,1953,TA,2259,0,2259,7,2,2,450,Y,120,Abnorml,217000
115,Pave,Mod,Crawfor,2Story,6,8,1945,Ex,1436,884,2320,9,1,1,180,Y,0,Normal,259500
116,Pave,Gtl,Somerst,2Story,6,5,1999,Gd,729,729,1458,5,1,2,440,Y,32,Normal,176000
117,Pave,Gtl,Sawyer,1Story,5,5,1962,TA,1092,0,1092,6,1,1,288,Y,20,Normal,139000
118,Pave,Gtl,Edwards,1Story,5,5,2006,Gd,1125,0,1125,5,0,2,430,Y,64,Partial,155000
119,Pave,Gtl,SawyerW,2Story,7,5,1990,Gd,1699,1523,3222,11,2,3,594,Y,0,Normal,320000
120,Pave,Gtl,CollgCr,2Story,6,5,2005,Ex,728,728,1456,8,1,2,390,Y,24,Partial,163990
121,Pave,Sev,ClearCr,SLvl,6,5,1969,Ex,988,0,988,4,2,2,540,Y,130,Normal,180000
122,Pave,Gtl,IDOTRR,1.5Fin,4,5,1939,Gd,772,351,1123,4,0,1,264,P,0,Normal,100000
123,Pave,Gtl,NAmes,1Story,6,7,1958,Gd,1080,0,1080,5,0,1,288,Y,0,Normal,136000
124,Pave,Gtl,SawyerW,1Story,6,5,1993,Ex,1199,0,1199,5,0,2,530,Y,63,Normal,153900
125,Pave,Gtl,NWAmes,1Story,6,5,1979,TA,1586,0,1586,7,1,2,435,Y,0,Normal,181000
126,Pave,Gtl,IDOTRR,1.5Fin,6,8,1935,Gd,520,0,754,5,0,0,0,N,0,Normal,84500
127,Pave,Gtl,NPkVill,1Story,6,5,1976,TA,958,0,958,5,1,2,440,Y,205,Normal,128000
128,Pave,Gtl,OldTown,1.5Unf,5,7,1930,Ex,840,0,840,5,1,0,0,N,0,Normal,87000
129,Pave,Gtl,NAmes,2Story,6,5,1966,TA,660,688,1348,6,1,2,453,Y,108,Normal,155000
130,Pave,Gtl,NAmes,1Story,5,7,1958,TA,1053,0,1053,6,0,2,750,Y,80,Abnorml,150000
131,Pave,Gtl,NAmes,2Story,7,6,1966,Ex,1216,941,2157,8,2,2,487,Y,66,Normal,226000
132,Pave,Gtl,Gilbert,2Story,6,5,2000,Ex,1022,1032,2054,7,1,2,390,Y,48,Normal,244000
133,Pave,Gtl,NAmes,1Story,5,6,1959,Gd,1327,0,1327,7,0,2,624,Y,0,Normal,150750
134,Pave,Gtl,Timber,1Story,8,5,2001,Ex,1296,0,1296,6,0,2,471,Y,25,Normal,220000
135,Pave,Gtl,Sawyer,1Story,5,6,1968,Gd,1721,0,1721,7,1,2,440,Y,96,Normal,180000
136,Pave,Gtl,NWAmes,1Story,7,6,1970,Gd,1682,0,1682,7,1,2,530,Y,0,Normal,174000
137,Pave,Gtl,NAmes,1Story,5,5,1967,TA,1214,0,1214,5,1,1,318,Y,111,Normal,143000
138,Pave,Gtl,Mitchel,1Story,7,5,1988,Gd,1959,0,1959,9,0,3,766,Y,0,Family,171000
139,Pave,Gtl,CollgCr,2Story,8,5,1999,Ex,1004,848,1852,7,2,3,660,Y,106,Normal,230000
140,Pave,Gtl,CollgCr,2Story,6,5,1997,Ex,928,836,1764,7,0,2,470,Y,99,Normal,231500
141,Pave,Gtl,NAmes,1Story,4,5,1971,TA,864,0,864,5,1,0,0,Y,0,Normal,115000
142,Pave,Gtl,CollgCr,1Story,7,5,2005,Ex,1734,0,1734,7,0,2,660,Y,24,Normal,260000
143,Pave,Gtl,NAmes,1.5Fin,5,4,1952,Fa,910,475,1385,6,0,2,720,Y,0,Normal,166000
144,Pave,Gtl,CollgCr,1Story,7,5,1999,Ex,1501,0,1501,6,0,2,577,Y,29,Normal,204000
145,Pave,Gtl,Sawyer,1Story,5,5,1963,TA,1728,0,1728,10,0,2,504,Y,0,Abnorml,125000
146,Pave,Gtl,Edwards,2Story,6,5,2004,Ex,970,739,1709,7,0,2,380,Y,40,Normal,130000
147,Pave,Gtl,BrkSide,1Story,5,7,1931,TA,875,0,875,5,0,1,180,Y,0,Normal,105000
148,Pave,Gtl,Gilbert,2Story,7,5,2001,Ex,884,1151,2035,8,1,2,434,Y,48,Normal,222500
149,Pave,Gtl,SawyerW,1Story,7,5,2004,Ex,1080,0,1080,6,0,0,0,Y,0,Normal,141000
150,Pave,Gtl,BrkSide,1.5Fin,5,4,1936,Gd,896,448,1344,7,0,1,240,Y,114,Normal,115000
151,Pave,Gtl,CollgCr,1Story,5,6,1975,TA,969,0,969,5,0,2,440,Y,0,Normal,122000
152,Pave,Gtl,NridgHt,1Story,8,5,2007,Ex,1710,0,1710,6,1,3,866,Y,102,Partial,372402
153,Pave,Gtl,NWAmes,2Story,6,5,1971,Gd,1097,896,1993,8,1,2,495,Y,66,Normal,190000
154,Pave,Gtl,ClearCr,1Story,6,7,1960,Gd,1252,0,1252,4,1,2,564,Y,0,Normal,235000
155,Pave,Gtl,OldTown,1Story,6,5,1923,TA,1200,0,1200,7,0,1,312,Y,0,Family,125000
156,Pave,Gtl,Edwards,1.5Fin,6,5,1924,Fa,572,524,1096,5,0,0,0,N,8,Normal,79000
157,Pave,Gtl,NAmes,1Story,5,7,1950,TA,1040,0,1040,5,0,2,625,Y,0,Normal,109500
158,Pave,Gtl,Timber,2Story,8,5,2009,Ex,774,1194,1968,8,1,3,680,Y,75,Partial,269500
159,Pave,Gtl,Somerst,2Story,7,5,2004,Ex,991,956,1947,8,1,2,678,Y,136,Normal,254900
160,Pave,Gtl,Gilbert,2Story,7,5,2005,Ex,1392,1070,2462,9,1,2,576,Y,132,Partial,320000
161,Pave,Gtl,Veenker,1Story,6,6,1984,TA,1232,0,1232,6,0,2,516,Y,0,Normal,162500
162,Pave,Gtl,NridgHt,2Story,9,5,2003,Ex,1572,1096,2668,10,2,3,726,Y,0,Normal,412500
163,Pave,Gtl,NridgHt,1Story,7,5,2005,Ex,1541,0,1541,7,1,2,532,Y,70,Partial,220000
164,Pave,Gtl,OldTown,1.5Unf,4,6,1956,Ex,882,0,882,4,0,0,0,Y,0,Normal,103200
165,Pave,Gtl,OldTown,1Story,6,7,1926,Gd,1149,467,1616,5,0,1,216,Y,0,Normal,152000
166,Pave,Gtl,Edwards,1.5Fin,5,7,1940,Gd,808,547,1355,6,0,0,0,Y,0,Normal,127500
167,Pave,Gtl,ClearCr,1Story,5,5,1955,Ex,1867,0,1867,7,3,1,303,Y,0,Normal,190000
168,Pave,Gtl,NridgHt,2Story,8,5,2007,Ex,1610,551,2161,8,1,3,789,Y,120,Partial,325624
169,Pave,Gtl,Gilbert,2Story,7,5,2004,Ex,840,880,1720,7,1,2,440,Y,48,Normal,183500
170,Pave,Gtl,Timber,1Story,8,6,1981,TA,1707,0,1707,6,1,2,511,Y,64,Normal,228000
171,Pave,Gtl,OldTown,1.5Fin,5,6,1941,TA,854,0,1382,7,0,2,660,Y,0,Normal,128500
172,Pave,Gtl,NAmes,1Story,6,5,1960,Fa,1656,0,1656,7,2,2,528,P,62,Normal,215000
173,Pave,Gtl,StoneBr,2Story,7,7,1987,Gd,1064,703,1767,5,1,2,504,Y,35,Normal,239000
174,Pave,Gtl,NAmes,1Story,6,5,1961,TA,1362,0,1362,6,1,2,504,Y,20,Normal,163000
175,Pave,Gtl,Timber,1Story,6,5,1986,TA,1651,0,1651,7,1,2,616,Y,0,Normal,184000
176,Pave,Gtl,Edwards,1Story,6,7,1950,TA,2158,0,2158,7,1,2,576,Y,29,Normal,243000
177,Pave,Gtl,ClearCr,2Story,6,5,1988,TA,1164,896,2060,8,1,2,521,Y,228,Normal,211000
178,Pave,Gtl,Sawyer,1.5Fin,5,5,1958,Ex,1252,668,1920,8,1,2,451,Y,0,Normal,172500
179,Pave,Gtl,StoneBr,1Story,9,5,2008,Ex,2234,0,2234,9,1,3,1166,Y,60,Partial,501837
180,Pave,Gtl,OldTown,1Story,5,6,1923,TA,968,0,968,5,0,2,480,N,0,Normal,100000
181,Pave,Gtl,Somerst,2Story,6,5,2000,Ex,769,756,1525,5,1,2,440,Y,0,Normal,177000
182,Pave,Gtl,Crawfor,2Story,7,6,1920,Gd,901,901,1802,9,1,1,216,Y,0,Normal,200100
183,Pave,Gtl,Edwards,1Story,5,6,1957,Ex,1340,0,1340,7,1,1,252,Y,0,Normal,120000
184,Pave,Gtl,OldTown,1.5Fin,7,5,2003,Ex,1362,720,2082,6,0,2,484,N,238,Normal,200000
185,Pave,Gtl,BrkSide,1.5Fin,5,8,1908,Gd,936,316,1252,5,0,2,576,Y,0,Normal,127000
186,Pave,Gtl,OldTown,2.5Fin,10,9,1892,Ex,1518,1518,3608,12,2,3,840,Y,260,Normal,475000
187,Pave,Gtl,Mitchel,SLvl,7,5,1990,Ex,1217,0,1217,6,0,2,497,Y,27,Normal,173000
188,Pave,Gtl,OldTown,1.5Fin,5,7,1916,Ex,808,704,1656,8,0,1,180,N,0,Normal,135000
189,Pave,Gtl,SawyerW,SFoyer,5,5,1979,TA,1224,0,1224,6,2,2,528,Y,0,Alloca,153337
190,Pave,Gtl,StoneBr,1Story,8,5,2001,Ex,1593,0,1593,5,1,2,682,Y,120,Normal,286000
191,Pave,Mod,Crawfor,2Story,8,8,1932,TA,1549,1178,2727,10,2,2,440,Y,74,Normal,315000
192,Pave,Gtl,NAmes,2Story,7,9,1972,Gd,725,754,1479,7,0,2,484,Y,32,Normal,184000
193,Pave,Gtl,CollgCr,1Story,7,5,1999,Ex,1431,0,1431,6,0,2,666,Y,35,Normal,192000
194,Pave,Gtl,Edwards,2Story,7,5,2004,Ex,970,739,1709,7,0,2,380,Y,40,Normal,130000
195,Pave,Gtl,CollgCr,1Story,5,7,1972,TA,864,0,864,5,0,1,352,Y,0,Normal,127000
196,Pave,Gtl,NPkVill,2Story,6,6,1976,TA,855,601,1456,7,1,2,440,Y,0,Normal,148500
197,Pave,Gtl,Somerst,1Story,7,5,2007,Ex,1726,0,1726,8,1,3,786,Y,138,Partial,311872
198,Pave,Gtl,NAmes,2Story,8,4,1918,Gd,1360,1360,3112,8,1,2,795,Y,16,Abnorml,235000
199,Pave,Gtl,OldTown,2.5Fin,6,6,1912,Ex,929,929,2229,8,0,0,0,Y,198,Abnorml,104000
200,Pave,Gtl,NridgHt,1Story,8,5,2004,Ex,1713,0,1713,7,1,3,856,Y,26,Normal,274900
201,Pave,Gtl,Edwards,1Story,4,5,2003,Ex,1121,0,1121,5,0,2,440,Y,64,Normal,140000
202,Pave,Gtl,Mitchel,1Story,6,6,1977,TA,1279,0,1279,6,2,2,473,Y,83,Normal,171500
203,Pave,Gtl,OldTown,1.5Fin,6,6,1924,Gd,865,445,1310,6,0,1,398,Y,0,Normal,112000
204,Pave,Gtl,CollgCr,1Story,6,5,2004,Ex,848,0,848,3,1,2,420,Y,0,Normal,149000
205,Pave,Gtl,OldTown,1.5Fin,5,7,1947,TA,720,564,1284,5,0,1,240,Y,35,Normal,110000
206,Pave,Gtl,Gilbert,1Story,7,5,1990,Ex,1442,0,1442,5,0,2,500,Y,34,Normal,180500
207,Pave,Gtl,Sawyer,1Story,5,5,1962,TA,1696,0,1696,8,1,1,349,Y,30,Normal,143900
208,Pave,Gtl,NAmes,1Story,4,5,1960,TA,1100,0,1100,6,1,1,312,Y,0,Normal,141000
209,Pave,Mod,SawyerW,2Story,7,5,1988,Ex,1180,882,2062,7,1,2,454,Y,55,Normal,277000
210,Pave,Gtl,NAmes,1Story,6,7,1964,Ex,1092,0,1092,6,0,2,504,Y,0,Normal,145000
211,Pave,Gtl,Edwards,1Story,5,6,1925,TA,864,0,864,5,0,0,0,Y,0,Normal,98000
212,Pave,Gtl,Edwards,1Story,6,5,2009,Ex,1212,0,1212,6,0,2,460,Y,22,Normal,186000
213,Pave,Gtl,Somerst,2Story,7,5,2009,Ex,932,920,1852,7,1,2,644,Y,108,Partial,252678
214,Pave,Gtl,CollgCr,1Story,5,5,1995,Ex,990,0,990,5,0,2,576,Y,0,Normal,156000
215,Pave,Gtl,CollgCr,2Story,6,7,1977,Ex,689,703,1392,6,0,1,299,Y,36,Normal,161750
216,Pave,Gtl,NAmes,1Story,5,6,1957,TA,1236,0,1236,6,1,1,447,Y,0,Normal,134450
217,Pave,Gtl,CollgCr,1Story,7,5,2004,Ex,1436,0,1436,8,0,2,484,Y,98,Normal,210000
218,Pave,Gtl,OldTown,2Story,4,4,1925,Fa,810,518,1328,8,0,1,210,Y,172,Family,107000
219,Pave,Gtl,Crawfor,1.5Fin,7,9,1939,Ex,1137,817,1954,8,2,2,431,Y,119,Normal,311500
220,Pave,Gtl,Blmngtn,1Story,7,5,2005,Ex,1248,0,1248,5,0,2,438,Y,0,Partial,167240
221,Pave,Gtl,CollgCr,1Story,7,5,2006,Ex,1498,0,1498,5,0,2,675,Y,33,Partial,204900
222,Pave,Gtl,Gilbert,2Story,6,5,2002,Ex,1010,1257,2267,8,1,2,390,Y,46,Normal,200000
223,Pave,Gtl,NWAmes,2Story,6,6,1975,TA,811,741,1552,6,1,2,434,Y,208,Normal,179900
224,Pave,Gtl,NAmes,1Story,4,6,1971,Gd,864,0,864,4,0,2,576,Y,0,Abnorml,97000
225,Pave,Gtl,NridgHt,1Story,10,5,2003,Ex,2392,0,2392,8,1,3,968,Y,105,Normal,386250
226,Pave,Gtl,BrDale,2Story,5,5,1971,TA,630,672,1302,6,0,1,280,Y,0,Abnorml,112000
227,Pave,Gtl,NoRidge,2Story,7,5,1995,Ex,1214,1306,2520,9,1,3,721,Y,114,Abnorml,290000
228,Pave,Gtl,BrDale,2Story,6,6,1970,TA,483,504,987,5,0,1,280,Y,0,Normal,106000
229,Pave,Gtl,Sawyer,1Story,5,5,1967,TA,912,0,912,5,1,1,336,Y,0,Normal,125000
230,Pave,Gtl,Blmngtn,1Story,7,5,2005,Ex,1555,0,1555,7,1,2,430,Y,20,Normal,192500
231,Pave,Gtl,NAmes,1Story,6,6,1959,TA,1194,0,1194,6,0,1,312,Y,0,Normal,148000
